,frame.time_epoch,action_code,frame.len_per_sec,camera,instance_ID
65,1724343581,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
66,1724343582,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
67,1724343583,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
68,1724343584,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
69,1724343585,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
70,1724343586,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
71,1724343587,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
72,1724343588,2,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
73,1724343589,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
74,1724343590,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
75,1724343591,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
76,1724343592,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
77,1724343593,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
78,1724343594,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
79,1724343595,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
80,1724343596,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
81,1724343597,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
82,1724343598,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
83,1724343599,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
84,1724343600,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
85,1724343601,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
86,1724343602,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
87,1724343603,3,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
88,1724343604,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
89,1724343605,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
90,1724343606,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
91,1724343607,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
92,1724343608,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
93,1724343609,0,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
94,1724343610,4,0.0,"galayou, enter frame and stand still",Fx2ftdGeqkJyB4WA25cxAC
95,1724343653,1,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
96,1724343654,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
97,1724343655,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
98,1724343656,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
99,1724343657,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
100,1724343658,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
101,1724343659,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
102,1724343660,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
103,1724343661,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
104,1724343662,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
105,1724343663,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
106,1724343664,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
107,1724343665,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
108,1724343666,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
109,1724343667,2,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
110,1724343668,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
111,1724343669,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
112,1724343670,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
113,1724343671,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
114,1724343672,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
115,1724343673,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
116,1724343674,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
117,1724343675,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
118,1724343676,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
119,1724343677,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
120,1724343678,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
121,1724343679,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
122,1724343680,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
123,1724343681,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
124,1724343682,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
125,1724343683,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
126,1724343684,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
127,1724343685,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
128,1724343686,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
129,1724343687,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
130,1724343688,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
131,1724343689,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
132,1724343690,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
133,1724343691,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
134,1724343692,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
135,1724343693,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
136,1724343694,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
137,1724343695,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
138,1724343696,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
139,1724343697,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
140,1724343698,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
141,1724343699,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
142,1724343700,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
143,1724343701,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
144,1724343702,3,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
145,1724343703,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
146,1724343704,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
147,1724343705,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
148,1724343706,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
149,1724343707,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
150,1724343708,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
151,1724343709,0,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
152,1724343710,4,0.0,"galayou, enter frame stand still 30",emqmXzrpv8vnYsZXYADweX
